INSTNM,LONGITUD,LATITUDE,WEBADDR,ADDR_STR
Alabama A & M University,-86.568502,34.783368,www.aamu.edu/,"4900 Meridian Street, Normal, AL - 35762"
University of Alabama at Birmingham,-86.799345,33.505697,https://www.uab.edu/,"Administration Bldg Suite 1070, Birmingham, AL - 35294-0110"
Amridge University,-86.17401,32.362609,https://www.amridgeuniversity.edu/,"1200 Taylor Rd, Montgomery, AL - 36117-3553"
University of Alabama in Huntsville,-86.640449,34.724557,www.uah.edu/,"301 Sparkman Dr, Huntsville, AL - 35899"
Alabama State University,-86.295677,32.364317,www.alasu.edu/,"915 S Jackson Street, Montgomery, AL - 36104-0271"
University of Alabama System Office,-87.529594,33.207015,www.uasystem.edu/,"500 University Blvd. East, Tuscaloosa, AL - 35401"
The University of Alabama,-87.545978,33.211875,www.ua.edu/,"739 University Blvd, Tuscaloosa, AL - 35487-0100"
Central Alabama Community College,-85.945266,32.92478,www.cacc.edu/,"1675 Cherokee Rd, Alexander City, AL - 35010"
Athens State University,-86.964698,34.806793,https://www.athens.edu/,"300 N Beaty St, Athens, AL - 35611"
Auburn University at Montgomery,-86.177544,32.36736,www.aum.edu/,"7440 East Drive, Montgomery, AL - 36117-3596"
Auburn University,-85.488258,32.599378,www.auburn.edu/," , Auburn, AL - 36849"
Birmingham-Southern College,-86.850552,33.513774,www.bsc.edu/,"900 Arkadelphia Road, Birmingham, AL - 35254"
Chattahoochee Valley Community College,-85.031485,32.42391,https://www.cv.edu/,"2602 College Drive, Phenix City, AL - 36869"
South University-Montgomery,-86.216488,32.342684,www.southuniversity.edu/,"5355 Vaughn Rd, Montgomery, AL - 36116"
Enterprise State Community College,-85.836956,31.297496,www.escc.edu/,"600 Plaza Drive, Enterprise, AL - 36330-1300"
Coastal Alabama Community College,-87.778193,30.851343,www.coastalalabama.edu/,"1900 U S Highway 31 South, Bay Minette, AL - 36507-2698"
Faulkner University,-86.21641,32.384181,www.faulkner.edu/,"5345 Atlanta Hwy, Montgomery, AL - 36109-3390"
Gadsden State Community College,-85.991438,33.994001,www.gadsdenstate.edu/,"1001 George Wallace Dr, Gadsden, AL - 35903"
