collegeName,program,degree,decision,semester,origin,gpa,gre,gre_v,gre_aw
University of Pennsylvania,Computer Science,Masters,Accepted,F20,International,3.90,,,
University of Pennsylvania,Computer Science,Masters,Rejected,F20,International,4.00,,,
Northwestern University,Computer Science,Masters,Rejected,F20,International,,,,
Northeastern University,Computer Science,Masters,Rejected,F20,International,,,,
"University Of California, Irvine",Computer Science,Masters,Other,F20,International,,,,
Northwestern University,Computer Science,Masters,Rejected,F20,American,,,,
NYU Tandon,Computer Science,Masters,Accepted,F20,International,3.80,161,150,4.00
University of Pennsylvania,Computer Science,Masters,Other,F20,,,,,
"University Of California, Irvine",Computer Science,Masters,Other,F20,,,,,
UC San Diego (UCSD),Computer Science,Masters,Accepted,F20,American,3.69,,,
University At Buffalo,Computer Science,Masters,Accepted,F20,International,3.20,160,153,3.00
University of Chicago,Computer Science,Masters,Rejected,F20,International,,,,
University of Chicago,Computer Science,Masters,Rejected,F20,International,,168,159,3.50
University of Chicago,Computer Science,Masters,Rejected,F20,International,,,,
University of Chicago,Computer Science,Masters,Accepted,F20,American,3.49,161,169,5.50
University Of Alberta (U Of A),Computer Science,Masters,Accepted,F20,International,3.99,,,
University of Chicago,Computer Science,Masters,Other,F20,,,,,
University Of Alberta,Computer Science,Masters,Accepted,F20,International,3.82,,,
Northwestern University,Computer Science,Masters,Accepted,F20,International,,,,
University of Southern California,Computer Science,Masters,Accepted,F20,American,,,,
University Of Alberta,Computer Science,Masters,Other,F20,International,,,,
"University Of Californa, Los Angeles (UCLA)",Computer Science,Masters,Accepted,F20,International,3.80,168,163,
"University Of Californa, Los Angeles (UCLA)",Computer Science,Masters,Accepted,F20,International,3.80,168,163,
"University Of California, San Diego",Computer Science,Masters,Rejected,F20,International,,,,
"University Of California, San Diego",Computer Science,Masters,Rejected,F20,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Rejected,F20,International,3.46,170,157,4.00
"University Of California, San Diego",Computer Science,Masters,Rejected,F20,International,,,,
UC San Diego,Computer Science,Masters,Rejected,F20,International,,,,
University of Southern California,Computer Science,Masters,Other,F20,,,,,
"University Of Minnesota, Twin Cities Campus",Computer Science,Masters,Rejected,F20,International,3.40,170,159,4.00
University of Southern California,Computer Science,Masters,Rejected,F20,American,3.70,164,162,
UC San Diego (UCSD),Computer Science,Masters,Rejected,F20,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Rejected,F20,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Rejected,F20,International,,,,
North Carolina State University,Computer Science,Masters,Accepted,F20,International,,,,
Rutgers University - New Brunswick,Computer Science,Masters,Wait,F20,International,6.50,163,159,3.50
UC San Diego (UCSD),Computer Science,Masters,Rejected,F20,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Rejected,F20,International,,,,
"University Of California, San Diego",Computer Science,Masters,Rejected,F20,International,,,,
"University Of California, San Diego",Computer Science,Masters,Other,F20,International,,,,
Columbia University,Computer Science,Masters,Accepted,F14,American,3.86,164,170,4.50
Stanford University,Computer Science,Masters,Rejected,F14,American,3.86,164,170,4.50
Stanford University,Computer Science,Masters,Rejected,F14,International,,,,
Ohio State University Columbus,Computer Science,Masters,Rejected,F14,International,,164,147,3.00
Duke,Computer Science,Masters,Accepted,F14,American,,,,
University Of Calgary,Computer Science,Masters,Accepted,F14,International,3.93,,,
Case Western Reserve University,Computer Science,Masters,Rejected,F14,International,3.10,160,155,3.50
McGill University,Computer Science,Masters,Accepted,F14,International,3.64,,,
University Of Southern California(USC),Computer Science,Masters,Accepted,F14,International,3.69,165,156,3.00
University Of California Los Angeles (UCLA),Computer Science,Masters,Accepted,F14,International,3.69,165,156,3.00
Uva,Computer Science,Masters,Accepted,F14,International,,,,
USC,Computer Science(Game Development),Masters,Accepted,F14,International,9.99,156,161,3.50
Stanford University,Computer Science,Masters,Rejected,F14,International,3.90,166,162,4.50
University Of Waterloo,"Computer Science, Master Of Math",Masters,Other,F14,International,,,,
University Of Waterloo,"Computer Science, M. Math",Masters,Accepted,F14,International,,167,155,4.00
Stanford,Computer Science,Masters,Rejected,F14,International,3.89,164,161,4.50
UCLA,Computer Science,Masters,Accepted,F14,International,3.89,164,161,4.50
University Of Souther California,Computer Science(Game Development),Masters,Accepted,F14,International,,156,161,3.50
Seattle University,Computer Science,Masters,Accepted,F14,American,2.99,165,154,5.00
San Diego State University (SDSU),Computer Science,Masters,Accepted,F14,American,2.99,165,154,5.00
Columbia University,Computer Science,Masters,Other,F20,International,,,,
University Of Wisconsin-Madison,Computer Science,Masters,Accepted,F20,International,,,,
University of Pennsylvania,Computer Science,Masters,Rejected,F20,International,3.83,153,169,4.00
UC San Diego (UCSD),Computer Science,Masters,Other,F20,International,,,,
"University Of California, Berkeley",Computer Science,Masters,Other,F20,,,,,
"University Of California, San Diego (UCSD)",Computer Science,Masters,Other,F20,International,,,,
Cornell Tech,Computer Science,Masters,Other,F20,International,,,,
Penn State University,Computer Science,Masters,Accepted,F20,American,,,,
UC San Diego (UCSD),Computer Science,Masters,Other,F20,American,,,,
NYU Tandon,Computer Science,Masters,Other,F20,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Other,F20,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Other,F20,International,,,,
Brown University,Computer Science,Masters,Rejected,F20,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Other,F20,International,,,,
UC San Diego (UCSD),Computer Science,Masters,Other,F20,,,,,
University of Southern California,Computer Science (Scientists And Engineers),Masters,Accepted,F20,American,2.78,158,153,4.00
"University Of Michigan, Ann Arbor",Computer Science,Masters,Accepted,F20,American,3.80,165,164,4.50
Texas A & M University (TAMU),Computer Science,Masters,Other,F20,International,,,,
"University Of Massachusetts, Amherst",Computer Science,Masters,Other,F20,International,,,,
"University Of Michigan, Ann Arbor",Computer Science And Engineering,Masters,Other,F20,,,,,
University Of Toronto,Computer Science,Masters,Other,F20,,,,,
University Of Toronto,Computer Science,Masters,Other,F20,International,,,,
University Of Oxford,Computer Science,Masters,Rejected,F20,International,,,,
University Of Toronto,Computer Science,Masters,Other,F20,International,,,,
University Of Toronto,Computer Science,Masters,Other,F20,International,,,,
University Of Waterloo,Computer Science,Masters,Rejected,S15,International,3.14,165,154,4.50
Shri Sant Gajanan Maharaj College Of Engineering,Computer Science,Masters,Wait,F15,International,3.00,160,140,3.00
Politecnico Di Milano (Polimi),Computer Science And Engineering,Masters,Accepted,F15,International,3.00,168,142,3.00
Brown University,Computer Science,Masters,Accepted,S15,American,3.58,168,169,5.00
University of Chicago,Computer Science,Masters,Accepted,S15,American,3.23,158,156,4.00
University Of Texas At Dallas (UTD),Computer Science,Masters,Accepted,F15,International,3.10,167,146,3.00
UCLA,Computer Science,Masters,Accepted,F15,American,3.87,162,164,5.00
USC,Computer Science (Scientist And Engineering),Masters,Rejected,S15,American,3.76,170,146,3.00
Stevens Institute Of Technology (SIT),Computer Science,Masters,Accepted,F15,International,3.10,167,146,3.00
Stevens Institute of Technology,Computer Science,Masters,Rejected,S15,American,3.57,156,159,3.00
Stony Brook University,Computer Science,Masters,Rejected,S15,International,,,,
Illinois Institute of Technology,Computer Science,Masters,Accepted,S15,International,,170,151,3.00
University Of Texas At Dallas,Computer Science,Masters,Accepted,S15,International,,170,151,3.00
University Of Southern California.,Computer Science,Masters,Accepted,S15,International,,,,
University Of Illinois Urbana Champaign ( UIUC ),Computer Science,Masters,Accepted,S15,American,,,,
Stanford University,Computer Science,Masters,Rejected,F20,International,3.90,,,
Stanford University,Computer Science,Masters,Rejected,F20,International,,,,
Georgia Tech,Computer Science,Masters,Other,F20,International,,,,
University Of Illinois Urbana-Champaign (UIUC),Computer Science,Masters,Other,F20,International,,,,
Stanford University,Computer Science,Masters,Rejected,F20,International,3.70,170,162,3.50
Stanford University,Computer Science,Masters,Rejected,F20,International,,,,
Stanford University,Computer Science,Masters,Rejected,F20,International,,,,
Stanford University,Computer Science,Masters,Rejected,F20,International,,,,
University Of Illinois Urbana-Champaign (UIUC),Computer Science,Masters,Other,F20,International,,,,
Stanford University,Computer Science,Masters,Other,F20,International,,,,
Stanford University,Computer Science,Masters,Rejected,F20,International,,,,
"University Of Colorado, Boulder",Computer Science,Masters,Accepted,F20,American,,,,
Stanford University,Computer Science,Masters,Other,F20,International,,,,
Stanford University,Computer Science,Masters,Rejected,F20,International,,,,
Stanford University,Computer Science,Masters,Rejected,F20,International,,,,
University of Colorado Boulder,Computer Science,Masters,Accepted,F20,International,3.70,169,154,5.00
Stanford University,Computer Science,Masters,Other,F20,International,,,,
Stanford University,Computer Science,Masters,Rejected,F20,International,3.78,167,159,4.00
Stanford University,Computer Science,Masters,Rejected,F19,American,3.07,163,158,4.00
"University Of Colorado, Boulder",Computer Science,Masters,Other,F20,International,,,,
University of Southern California,Computer Science,Masters,Accepted,Fall,,,,,
Carnegie Mellon University,Computer Science,Masters,Other,Fall,International,,,,
University of Southern California,Computer Science,Masters,Other,Fall,International,,,,
University of Southern California,Computer Science,Masters,Other,Fall,International,,,,
University of Southern California,Computer Science,Masters,Accepted,Fall,International,,169,168,4.50
"University Of California, Irvine",Computer Science,Masters,Accepted,Fall,American,,,,
"University Of Massachusetts, Amherst",Computer Science,Masters,Other,Fall,International,,,,
